2025-08-19 00:27:59,293 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:27:59,294 | INFO     | ProductionBot | ⏱️ Время работы: 13.1 мин
2025-08-19 00:27:59,296 | INFO     | ProductionBot | 🔍 Сканирований: 719
2025-08-19 00:27:59,297 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:27:59,299 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:27:59,300 | INFO     | ProductionBot | 📨 WebSocket сообщений: 193376
2025-08-19 00:27:59,301 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:27:59,302 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:27:59,303 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:27:59,305 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:27:59,309 | INFO     | ProductionBot | ==================================================
2025-08-19 00:29:05,180 | INFO     | ProductionBot | ==================================================
2025-08-19 00:29:05,180 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:29:05,181 | INFO     | ProductionBot | ⏱️ Время работы: 14.2 мин
2025-08-19 00:29:05,181 | INFO     | ProductionBot | 🔍 Сканирований: 779
2025-08-19 00:29:05,182 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:29:05,182 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:29:05,183 | INFO     | ProductionBot | 📨 WebSocket сообщений: 208136
2025-08-19 00:29:05,184 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:29:05,185 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:29:05,185 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:29:05,186 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:29:05,187 | INFO     | ProductionBot | ==================================================
2025-08-19 00:29:22,056 | ERROR    | WSManager    | ❌ OKX WebSocket ошибка: no close frame received or sent
2025-08-19 00:30:11,056 | INFO     | ProductionBot | ==================================================
2025-08-19 00:30:11,056 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:30:11,057 | INFO     | ProductionBot | ⏱️ Время работы: 15.3 мин
2025-08-19 00:30:11,060 | INFO     | ProductionBot | 🔍 Сканирований: 839
2025-08-19 00:30:11,060 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:30:11,061 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:30:11,062 | INFO     | ProductionBot | 📨 WebSocket сообщений: 216029
2025-08-19 00:30:11,063 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:30:11,064 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:30:11,065 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:30:11,066 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:30:11,067 | INFO     | ProductionBot | ==================================================
2025-08-19 00:31:16,931 | INFO     | ProductionBot | ==================================================
2025-08-19 00:31:16,932 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:31:16,932 | INFO     | ProductionBot | ⏱️ Время работы: 16.4 мин
2025-08-19 00:31:16,933 | INFO     | ProductionBot | 🔍 Сканирований: 899
2025-08-19 00:31:16,934 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:31:16,934 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:31:16,935 | INFO     | ProductionBot | 📨 WebSocket сообщений: 222653
2025-08-19 00:31:16,936 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:31:16,937 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:31:16,938 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:31:16,940 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:31:16,941 | INFO     | ProductionBot | ==================================================
2025-08-19 00:32:22,817 | INFO     | ProductionBot | ==================================================
2025-08-19 00:32:22,820 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:32:22,823 | INFO     | ProductionBot | ⏱️ Время работы: 17.5 мин
2025-08-19 00:32:22,823 | INFO     | ProductionBot | 🔍 Сканирований: 959
2025-08-19 00:32:22,824 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:32:22,825 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:32:22,827 | INFO     | ProductionBot | 📨 WebSocket сообщений: 228903
2025-08-19 00:32:22,828 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:32:22,829 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:32:22,830 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:32:22,830 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:32:22,832 | INFO     | ProductionBot | ==================================================
2025-08-19 00:33:25,768 | INFO     | ProductionBot | ==================================================
2025-08-19 00:33:25,769 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
2025-08-19 00:33:25,769 | INFO     | ProductionBot | ⏱️ Время работы: 18.6 мин
2025-08-19 00:33:25,770 | INFO     | ProductionBot | 🔍 Сканирований: 1019
2025-08-19 00:33:25,771 | INFO     | ProductionBot | 💎 Найдено возможностей: 0
2025-08-19 00:33:25,772 | INFO     | ProductionBot | 💼 Исполнено сделок: 0
2025-08-19 00:33:25,773 | INFO     | ProductionBot | 📨 WebSocket сообщений: 234896
2025-08-19 00:33:25,775 | INFO     | ProductionBot | ❌ Ошибок: 0
2025-08-19 00:33:25,777 | INFO     | ProductionBot | 🔌 Подключено бирж: 7
2025-08-19 00:33:25,779 | INFO     | ProductionBot | 💰 Прибыль: $0.00 (0.000%)
2025-08-19 00:33:25,780 | INFO     | ProductionBot | 📦 Объем торгов: $0.00
2025-08-19 00:33:25,781 | INFO     | ProductionBot | ==================================================
2025-08-19 00:34:33,029 | INFO     | ProductionBot | ==================================================
2025-08-19 00:34:33,031 | INFO     | ProductionBot | 📊 СТАТИСТИКА РАБОТЫ
