2025-08-17 22:19:32,490 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:19:32,491 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:19:32,492 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:19:32,494 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:19:32,496 | ERROR    | CriticalTraderMonitor | Ошибка парсинга строки: 'CriticalTraderMetrics' object has no attribute 'orders_executed'
2025-08-17 22:19:32,500 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,501 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,502 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,503 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,505 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,507 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,509 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,511 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,514 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,516 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,517 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,519 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,520 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,521 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,522 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,524 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,526 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,528 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,529 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,531 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,533 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,534 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,535 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,536 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,538 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,539 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,541 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
2025-08-17 22:19:32,544 | INFO     | CriticalTraderMonitor | Parsed balance: MEXC $100.00 from production_bot.log
2025-08-17 22:19:32,546 | INFO     | CriticalTraderMonitor | Parsed balance: BYBIT $100.00 from production_bot.log
2025-08-17 22:19:32,548 | INFO     | CriticalTraderMonitor | Parsed balance: HUOBI $100.00 from production_bot.log
