Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,14)","Exit__rsi(C,14)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2"
9054,521,528,1.0943503797781875,1.0936702649335224,1.0936702649335224,1.0960692051994332,-6.157759803598042,0.0,-0.0006214781456035379,2024-01-09 08:15:00+00:00,2024-01-09 10:00:00+00:00,0 days 01:45:00,A_long,0.0005877703909474367,0.0006649590046110124,26.8728553703386,34.46615782540326,1.0941798298245924,1.0935059133940461,1.0953515,1.0948035,1.0965231701754077,1.096101086605954
9069,552,615,1.091880153195549,1.0944985399870406,1.0908738200043198,1.0944985399870406,23.746149812036517,0.0,0.0023980532880174543,2024-01-09 16:00:00+00:00,2024-01-10 07:45:00+00:00,0 days 15:45:00,A_long,0.000922689329589554,0.0007068160925200451,22.728854904406532,41.924175060733,1.0919531143156738,1.0924668033375,1.093602,1.0931095000000002,1.0952508856843262,1.0937521966625003
-9053,647,664,1.0962694257460257,1.0971784270202098,1.0971784270202098,1.0939047189393705,-8.22918853518902,0.0,-0.0008291768910417829,2024-01-10 15:45:00+00:00,2024-01-10 20:00:00+00:00,0 days 04:15:00,A_short,0.0007826367508485631,0.0005349716750063086,81.31024182276775,50.38290621232115,1.0931562488578022,1.0953428527925413,1.0946609999999999,1.096457,1.0961657511421976,1.0975711472074587
-9029,706,706,1.0982592431956408,1.0987142958001872,1.0987142958001872,1.0972971125994384,-4.108669966449163,0.0,-0.0004143398813765131,2024-01-11 06:30:00+00:00,2024-01-11 06:30:00+00:00,0 days 00:00:00,A_short,0.0003803896934956099,0.0003803896934956099,76.0666283606282,76.0666283606282,1.0975826975843177,1.0975826975843177,1.097978,1.097978,1.098373302415682,1.098373302415682
-9023,707,712,1.0984992211795142,1.0974688309195135,1.0989903896934956,1.0974688309195135,9.297211315985633,0.0,0.0009379981707171581,2024-01-11 06:45:00+00:00,2024-01-11 08:00:00+00:00,0 days 01:15:00,A_short,0.0003670044010295364,0.00043471550297476477,73.40064504355207,29.680943441272433,1.097543805003394,1.0974965417440108,1.0980124999999998,1.0980474999999998,1.0984811949966056,1.098598458255989
9046,717,718,1.0969106146168734,1.0962768361584105,1.0962768361584105,1.0983694915247684,-5.7331599352554665,0.0,-0.0005777849626190656,2024-01-11 09:15:00+00:00,2024-01-11 09:30:00+00:00,0 days 00:15:00,A_long,0.0004974086627108441,0.0005484208410160638,24.291721905965957,16.326147679434712,1.096913779133918,1.096499115210793,1.0978845,1.097788,1.0988552208660818,1.099076884789207
9048,719,724,1.0960405348084137,1.097585262523048,1.0953915791589839,1.097585262523048,13.976696362011324,0.0,0.001409370972675239,2024-01-11 09:45:00+00:00,2024-01-11 11:00:00+00:00,0 days 01:15:00,A_long,0.000561964728880594,0.0006185066799411035,30.17921715084708,64.14122477132237,1.0962884182430337,1.0957879584730843,1.097718,1.0974344999999999,1.0991475817569663,1.0990810415269154
9067,735,735,1.0953504715120492,1.0939674858401895,1.0939674858401895,1.099137542479431,-12.539531086751738,0.0,-0.0012625965002329709,2024-01-11 13:45:00+00:00,2024-01-11 13:45:00+00:00,0 days 00:00:00,A_long,0.0015201789385022855,0.0015201789385022855,18.063257885946754,18.063257885946754,1.0947514248183468,1.0947514248183468,1.0971440000000001,1.0971440000000001,1.0995365751816535,1.0995365751816535
9066,736,784,1.0940703540927064,1.0985005368155065,1.0924198210614977,1.0985005368155065,40.16403656490623,0.0,0.004049266764452275,2024-01-11 14:00:00+00:00,2024-01-12 02:00:00+00:00,0 days 12:00:00,A_long,0.0015454884133686607,0.000459551787473829,30.04430095964065,70.17094668693585,1.0944418445654995,1.096872914669682,1.0970435,1.0976640000000002,1.0996451554345006,1.0984550853303183
9080,805,806,1.096740599022117,1.0961860669432784,1.0961860669432784,1.097961799170165,-5.035151275855485,0.0,-0.000505618265005503,2024-01-12 07:15:00+00:00,2024-01-12 07:30:00+00:00,0 days 00:15:00,A_long,0.00043674198249202934,0.00048650971815975577,25.763803806106594,20.180951779304294,1.0968789811831368,1.0966291960994587,1.097623,1.097547,1.0983670188168633,1.0984648039005414
