scenario,strategy,trades,pf,wr,ret,dd,sharpe
mc_012_extra0.213p,C,21.0,0.5420338085963545,19.047619047619047,-0.5519628727204873,-0.868862491182465,-5.895071318350345
mc_012_extra0.213p,B,10.0,1.9909510925113736,50.0,0.3598186467103551,-0.21124439474108359,4.153487509439677
mc_013_extra0.573p,A,39.0,1.2808037706002138,33.33333333333333,0.6083397394548774,-0.8342277190649394,3.5649214085047234
mc_013_extra0.573p,C,21.0,0.5079099139151442,19.047619047619047,-0.6199870202819511,-0.9108447439706624,-6.532819650909765
mc_013_extra0.573p,B,10.0,1.8625849604727847,50.0,0.3271797126527235,-0.21448941225737927,3.8442683180169834
mc_014_extra0.195p,A,39.0,1.3564814106239083,33.33333333333333,0.7423282638413002,-0.8003564263088792,4.273305600131684
mc_014_extra0.195p,C,21.0,0.5437559536629492,19.047619047619047,-0.5486955225359815,-0.8668310526534051,-5.863697199942759
mc_014_extra0.195p,B,10.0,1.9974224425881466,50.0,0.3614122886001132,-0.21108475170477092,4.168130039645024
mc_015_extra0.250p,A,39.0,1.34508922858874,33.33333333333333,0.722816395802638,-0.8052826394230328,4.172252922040882
mc_015_extra0.250p,C,21.0,0.5383346795289268,19.047619047619047,-0.5590704802311666,-0.873217599193199,-5.962990561202798
mc_015_extra0.250p,B,10.0,1.9770485194838152,50.0,0.35642560759339176,-0.21157364899134778,4.121986611040793
mc_016_extra0.153p,A,39.0,1.3652846786915025,33.33333333333333,0.7572082126893473,-0.7965988871138641,4.349880694257709
mc_016_extra0.153p,C,21.0,0.5479513709938444,19.047619047619047,-0.5407573432175923,-0.8619254166985613,-5.787685663178665
mc_016_extra0.153p,B,10.0,2.013184879016003,50.0,0.3652333197370353,-0.21069886017383022,4.203326384403183
mc_017_extra0.273p,A,39.0,1.340454477294984,33.33333333333333,0.7148459283660669,-0.8072991823597775,4.130738522765626
mc_017_extra0.273p,C,21.0,0.5361316730187905,19.047619047619047,-0.5633131142837192,-0.8758485674464356,-6.00327299984498
mc_017_extra0.273p,B,10.0,1.9687674146350587,50.0,0.35439253210834065,-0.2117734532127713,4.103068473987645
mc_018_extra0.253p,A,39.0,1.3444677434042331,33.33333333333333,0.7217320172588187,-0.8055540698275965,4.16662016751676
mc_018_extra0.253p,C,21.0,0.5380391869666032,19.047619047619047,-0.5596340480535582,-0.8735645545314918,-5.968347280684553
mc_018_extra0.253p,B,10.0,1.975937825977117,50.0,0.3561525878211796,-0.21160136982364408,4.119444013443945
mc_019_extra0.242p,A,39.0,1.3467124423383394,33.33333333333333,0.7256127643569016,-0.8045745718179953,4.186735330369975
mc_019_extra0.242p,C,21.0,0.5391065816178081,19.047619047619047,-0.5575850592753704,-0.8722972511691851,-5.948868151985452
mc_019_extra0.242p,B,10.0,1.9799498419783625,50.0,0.3571305916171696,-0.21151731084236847,4.128531522684277
mc_020_extra0.158p,A,39.0,1.3643324133620307,33.33333333333333,0.7556304258738783,-0.7970059075594116,4.341732787938143
mc_020_extra0.158p,C,21.0,0.5474972863045051,19.047619047619047,-0.5416112602255816,-0.8624544665334355,-5.795884833784644
mc_020_extra0.158p,B,10.0,2.011479046573509,50.0,0.3648131541596922,-0.21074044365451128,4.199516001794345
mc_021_extra0.266p,A,39.0,1.3418604545143455,33.33333333333333,0.7173050470807357,-0.8066827159980416,4.14354666003791
mc_021_extra0.266p,C,21.0,0.5367998106120011,19.047619047619047,-0.5620105600717762,-0.8750379799832064,-5.990927006597207
