2025-08-07 08:21:24,994 - PAPER_TRADE; GROSS: +0.0574%; NET: -0.1674%; BALANCE: $8.33
2025-08-07 08:23:27,957 - PAPER_TRADE; GROSS: +0.0137%; NET: -0.2112%; BALANCE: $8.32
2025-08-07 08:28:49,944 - PAPER_TRADE; GROSS: +0.0253%; NET: -0.1995%; BALANCE: $8.30
2025-08-07 08:32:04,204 - PAPER_TRADE; GROSS: +0.0142%; NET: -0.2106%; BALANCE: $8.28
2025-08-07 08:40:29,422 - PAPER_TRADE; GROSS: +0.0289%; NET: -0.1960%; BALANCE: $8.27
2025-08-07 08:46:44,147 - PAPER_TRADE; GROSS: +0.0109%; NET: -0.2140%; BALANCE: $8.25
2025-08-07 08:48:51,940 - PAPER_TRADE; GROSS: +0.0195%; NET: -0.2053%; BALANCE: $8.23
2025-08-07 08:56:13,654 - PAPER_TRADE; GROSS: +0.0430%; NET: -0.1818%; BALANCE: $8.22
2025-08-07 08:57:10,943 - PAPER_TRADE; GROSS: +0.0170%; NET: -0.2079%; BALANCE: $8.20
2025-08-07 08:57:17,093 - PAPER_TRADE; GROSS: +0.0170%; NET: -0.2079%; BALANCE: $8.18
2025-08-07 08:57:20,385 - PAPER_TRADE; GROSS: +0.0170%; NET: -0.2079%; BALANCE: $8.17
2025-08-07 08:58:15,269 - PAPER_TRADE; GROSS: +0.0120%; NET: -0.2128%; BALANCE: $8.15
2025-08-07 08:58:18,571 - PAPER_TRADE; GROSS: +0.0120%; NET: -0.2128%; BALANCE: $8.13
2025-08-07 08:58:21,413 - PAPER_TRADE; GROSS: +0.0203%; NET: -0.2046%; BALANCE: $8.11
2025-08-07 08:58:24,267 - PAPER_TRADE; GROSS: +0.0367%; NET: -0.1882%; BALANCE: $8.10
2025-08-07 08:58:27,110 - PAPER_TRADE; GROSS: +0.0367%; NET: -0.1882%; BALANCE: $8.08
2025-08-07 08:58:29,974 - PAPER_TRADE; GROSS: +0.0294%; NET: -0.1954%; BALANCE: $8.07
2025-08-07 08:58:33,924 - PAPER_TRADE; GROSS: +0.0130%; NET: -0.2118%; BALANCE: $8.05
2025-08-07 09:01:02,625 - PAPER_TRADE; GROSS: +0.0304%; NET: -0.1944%; BALANCE: $8.04
2025-08-07 09:05:47,812 - PAPER_TRADE; GROSS: +0.0214%; NET: -0.2035%; BALANCE: $8.02
2025-08-07 09:07:55,667 - PAPER_TRADE; GROSS: +0.0118%; NET: -0.2130%; BALANCE: $8.00
2025-08-07 09:11:21,110 - PAPER_TRADE; GROSS: +0.0102%; NET: -0.2146%; BALANCE: $7.99
2025-08-07 09:12:19,733 - PAPER_TRADE; GROSS: +0.0128%; NET: -0.2120%; BALANCE: $7.97
2025-08-07 09:13:51,057 - PAPER_TRADE; GROSS: +0.0214%; NET: -0.2034%; BALANCE: $7.95
2025-08-07 09:24:54,746 - PAPER_TRADE; GROSS: +0.0392%; NET: -0.1857%; BALANCE: $7.94
2025-08-07 09:26:16,878 - PAPER_TRADE; GROSS: +0.0137%; NET: -0.2111%; BALANCE: $7.92
2025-08-07 09:37:29,283 - PAPER_TRADE; GROSS: +0.0165%; NET: -0.2083%; BALANCE: $7.90
2025-08-07 09:37:33,348 - PAPER_TRADE; GROSS: +0.0248%; NET: -0.2001%; BALANCE: $7.89
2025-08-07 09:37:36,210 - PAPER_TRADE; GROSS: +0.0248%; NET: -0.2001%; BALANCE: $7.87
2025-08-07 09:38:36,339 - PAPER_TRADE; GROSS: +0.0130%; NET: -0.2118%; BALANCE: $7.86
2025-08-07 09:38:40,402 - PAPER_TRADE; GROSS: +0.0243%; NET: -0.2005%; BALANCE: $7.84
2025-08-07 09:42:26,583 - PAPER_TRADE; GROSS: +0.0164%; NET: -0.2085%; BALANCE: $7.82
2025-08-07 09:42:29,867 - PAPER_TRADE; GROSS: +0.0246%; NET: -0.2002%; BALANCE: $7.81
2025-08-07 09:42:34,375 - PAPER_TRADE; GROSS: +0.0246%; NET: -0.2002%; BALANCE: $7.79
2025-08-07 09:42:37,233 - PAPER_TRADE; GROSS: +0.0246%; NET: -0.2002%; BALANCE: $7.78
2025-08-07 09:49:41,148 - PAPER_TRADE; GROSS: +0.0139%; NET: -0.2109%; BALANCE: $7.76
2025-08-07 10:28:30,467 - PAPER_TRADE; GROSS: +0.0193%; NET: -0.2056%; BALANCE: $7.74
2025-08-07 10:44:59,479 - PAPER_TRADE; GROSS: +0.0712%; NET: -0.1536%; BALANCE: $7.73
2025-08-07 10:50:40,779 - PAPER_TRADE; GROSS: +0.0132%; NET: -0.2117%; BALANCE: $7.72
2025-08-07 11:06:12,425 - RESULT: FAILURE. Opportunity is unprofitable after costs.
2025-08-07 11:06:12,426 - -----------------------------------------------------------
