timestamp,type,symbol,buy_exchange,sell_exchange,buy_price,sell_price,gross_profit,net_profit,route,category,unique
2025-08-13T04:15:20.839949,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:20.840014,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:20.840084,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:22.346560,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:22.346657,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:23.839874,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:23.839934,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:23.839972,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:25.356991,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:25.357071,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:25.357123,inter_exchange,OASUSDT,bybit,okx,0.01235,0.01238,0.2429,0.0629,bybit→okx,profit,False
2025-08-13T04:15:26.986478,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:26.986540,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:28.488583,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
2025-08-13T04:15:28.488644,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3787e-09,0.1962,-0.0038,okx→mexc,breakeven,False
2025-08-13T04:15:30.672624,inter_exchange,EDUUSDT,mexc,kucoin,0.1443,0.145,0.4851,0.3051,mexc→kucoin,profit,False
