начало теста    01.08.2025 14:13:30
119-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
120-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
121-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
122-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
123-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
124-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
125-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
126-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
127-я сделка | BUY_BTC_IN_MIDDLE | +0.02$ прибыли | SUCCESS (DEMO)
128-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
129-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
130-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
131-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
132-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
133-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
134-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
135-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
136-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
137-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
138-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
139-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
140-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
141-я сделка | BUY_BTC_IN_MIDDLE | +0.03$ прибыли | SUCCESS (DEMO)
142-я сделка | BUY_BTC_IN_MIDDLE | +0.04$ прибыли | SUCCESS (DEMO)
143-я сделка | BUY_BTC_IN_MIDDLE | +0.05$ прибыли | SUCCESS (DEMO)
144-я сделка | BUY_BTC_IN_MIDDLE | +0.04$ прибыли | SUCCESS (DEMO)
145-я сделка | BUY_BTC_IN_MIDDLE | +0.04$ прибыли | SUCCESS (DEMO)
146-я сделка | BUY_BTC_IN_MIDDLE | +0.05$ прибыли | SUCCESS (DEMO)
147-я сделка | BUY_BTC_IN_MIDDLE | +0.05$ прибыли | SUCCESS (DEMO)
148-я сделка | BUY_BTC_IN_MIDDLE | +0.05$ прибыли | SUCCESS (DEMO)
тест закончен    01.08.2025 14:47:43
