rank,file,tag,months,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
47,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.5,24,0.5416666666666666,1.2185272063747583,0.1523340959648969,50.0,-0.34266355490874534
48,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5,24,0.5416666666666666,1.1751127565151445,0.1119677183344476,48.07692307692308,-0.3703068532940889
49,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0007_edge0.5,24,0.5416666666666666,1.1751127565151445,0.1031467040216884,49.547511312217196,-0.3703068532940889
50,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5,24,0.5416666666666666,1.146759885106853,0.1119677183344476,47.2463768115942,-0.41644840572791497
51,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5,24,0.5416666666666666,1.12349516141408,0.1031467040216884,47.2463768115942,-0.41644840572791497
52,./out/rolling_A_24m_rsi14_bb2.0_atr1.0_risk1_london7-18_atrmin0.0005_edge0.5.csv,rsi14_bb2.0_atr1.0_risk1_london7-18_atrmin0.0005_edge0.5,24,0.5416666666666666,1.1062175159705943,0.2110642002006519,27.79310344827586,-0.7658546276691103
53,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5,24,0.5416666666666666,1.0823084047787244,0.0,48.07692307692308,-0.3716385105229314
54,./out/rolling_A_24m_rsi20_bb2.0_atr1.0_risk1_rr1.8_london7-18_atrmin0.0010_edge0.5.csv,rsi20_bb2.0_atr1.0_risk1_rr1.8_london7-18_atrmin0.0010_edge0.5,24,0.5,1.1617026681929172,0.0,39.565217391304344,-0.47187903618226
55,./rolling_A_24m.csv,current,24,0.5,1.1617026681929172,0.0,39.565217391304344,-0.47187903618226
56,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.5,24,0.5,1.0500994041509784,0.0,46.41025641025641,-0.373313734516062
