Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,18)","Exit__rsi(C,18)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2","Entry__session_…(timestamp,7,18)","Exit__session_…(timestamp,7,18)"
1807,113743,113815,1.0794087782109714,1.0780736036114942,1.0780736036114942,1.083099189165517,-4.361945833231871,1.9492853319765977,-0.0022363314428378717,2025-03-24 14:00:00+00:00,2025-03-25 08:00:00+00:00,0 days 18:00:00,A_long,0.0011060640583652641,0.0006610650178502178,30.61582855388039,23.173429490934723,1.0802112251520515,1.078459098485274,1.0831979999999999,1.0798565,1.0861847748479483,1.081253901514726,1.0,1.0
1805,113816,113823,1.0781386619808542,1.0804298340642604,1.0772567219785798,1.0804298340642604,2.1874575428675374,1.948108067680716,0.0011240556322849246,2025-03-25 08:15:00+00:00,2025-03-25 10:00:00+00:00,0 days 01:45:00,A_long,0.0006755896821368767,0.000781919229978424,21.46374932051262,71.77387057937531,1.0780980906588389,1.0779078332670788,1.0797485,1.0795355,1.0813989093411611,1.0811631667329211,1.0,1.0
-1804,113915,113932,1.07980116779236,1.0775298373237208,1.0806900542254265,1.0775298373237208,2.15156759881051,1.9459125666147048,0.001104522759981407,2025-03-26 09:00:00+00:00,2025-03-26 13:15:00+00:00,0 days 04:15:00,A_short,0.0006625947183635379,0.0008145665296788266,70.44577381829812,22.84984609562916,1.0778214400214041,1.0778462776430986,1.078753,1.079186,1.079684559978596,1.0805257223569014,1.0,1.0
1811,113933,113948,1.0771485713762745,1.0760725201643855,1.0760725201643855,1.0799824395068438,-3.8984704431210986,1.9497416983900677,-0.0019984817460314405,2025-03-26 13:30:00+00:00,2025-03-26 17:15:00+00:00,0 days 03:45:00,A_long,0.0008579576590549723,0.0010720397717560602,28.72952874339495,22.043693447286913,1.0775296750755874,1.0765900033233358,1.0790975,1.0782835,1.0806653249244127,1.0799769966766641,1.0,1.0
1809,113949,113957,1.0757684450789815,1.0743935522738928,1.0743935522738928,1.0795393431783216,-4.432002611011195,1.9448215266056748,-0.0022774174265590094,2025-03-26 17:30:00+00:00,2025-03-26 19:30:00+00:00,0 days 02:00:00,A_long,0.0011851011355219381,0.0007947007315918232,27.565604897349814,30.355545487861363,1.0762133600769341,1.0738013927696148,1.078135,1.0769674999999999,1.080056639923066,1.0801336072303849,1.0,0.0
-1799,114020,114037,1.079491196163491,1.0807607203541483,1.0807607203541483,1.0761178389375547,-4.227020617900081,1.9431465989076164,-0.0021766274308366567,2025-03-27 11:15:00+00:00,2025-03-27 15:30:00+00:00,0 days 04:15:00,A_short,0.0010196313668849916,0.001219960737698689,59.27723688705743,72.13781191160831,1.0754438276259255,1.077124976933923,1.0771929999999998,1.078859,1.0789421723740742,1.080593023066077,1.0,1.0
-1792,114038,114108,1.081451016784727,1.0771681413442846,1.0830239528852386,1.0771681413442846,5.740790023589328,1.9341227656835946,0.002962284755996189,2025-03-27 15:45:00+00:00,2025-03-28 09:15:00+00:00,0 days 17:30:00,A_short,0.0013706326393388736,0.0007635410185366986,56.9966645179712,27.8300942190111,1.0771835266308927,1.0773201774377545,1.0789485,1.0785635,1.0807134733691075,1.0798068225622455,1.0,1.0
-1801,114124,114124,1.0792012227042262,1.080470137226699,1.080470137226699,1.0758295883199032,-4.2300991145911055,1.944784059617798,-0.0021763783741392687,2025-03-28 13:15:00+00:00,2025-03-28 13:15:00+00:00,0 days 00:00:00,A_short,0.0011018768859492947,0.0011018768859492947,79.42252490383565,79.42252490383565,1.075943018562612,1.075943018562612,1.077694,1.077694,1.0794449814373879,1.0794449814373879,1.0,1.0
-1795,114125,114127,1.0802811238628667,1.0817222522631391,1.0817222522631391,1.0764332432105828,-4.52722350856212,1.9403980300730903,-0.002334697915776629,2025-03-28 13:30:00+00:00,2025-03-28 14:00:00+00:00,0 days 00:30:00,A_short,0.0010642933011560315,0.0011467803017571755,77.22478946705637,83.58147098429308,1.0757386280629173,1.0752300914039337,1.0778234999999998,1.0781839999999998,1.0799083719370823,1.081137908596066,1.0,1.0
-1787,114129,114132,1.082640907876192,1.0842078515138276,1.0842078515138276,1.0783364454585174,-4.736207646969698,1.9360793665149827,-0.0024480582601758187,2025-03-28 14:30:00+00:00,2025-03-28 15:15:00+00:00,0 days 00:45:00,A_short,0.001198781648875374,0.001190738750393824,80.86630110883378,85.83301260342394,1.0748005361192237,1.0746806889450105,1.0786905,1.079561,1.0825804638807763,1.0844413110549895,1.0,1.0
1789,114226,114279,1.078848726959896,1.0828284293947277,1.077390523535091,1.0828284293947277,5.186067439554502,1.9336202163592109,0.002686997522648925,2025-03-31 14:45:00+00:00,2025-04-01 04:00:00+00:00,0 days 13:15:00,A_long,0.0012791774468788586,0.00039509730141022297,44.08228755760492,66.61601675791385,1.079235411371876,1.0816537836744367,1.081107,1.082271,1.082978588628124,1.0828882163255633,1.0,0.0
-1789,114411,114417,1.0817909856680028,1.0829816260243164,1.0829816260243164,1.0786551219270513,-4.066444698603729,1.9363891011587795,-0.0021011699046060758,2025-04-02 13:00:00+00:00,2025-04-02 14:30:00+00:00,0 days 01:30:00,A_short,0.0008731743508950466,0.0009878992711523258,79.14756478814014,77.46608403660494,1.0787057907220168,1.078602791816553,1.080223,1.0809950000000002,1.081740209277983,1.0833872081834472,1.0,1.0
-1779,114419,114422,1.0857306250800798,1.0872810152419985,1.0872810152419985,1.0814369542740045,-4.6910379521198795,1.9328938540664886,-0.0024286834332275706,2025-04-02 15:00:00+00:00,2025-04-02 15:45:00+00:00,0 days 00:45:00,A_short,0.001204511008109995,0.0011706283510570742,81.00018239892684,85.31096849207297,1.0779219987879136,1.0782033375024753,1.0815285000000001,1.082535,1.0851350012120866,1.0868666624975247,1.0,1.0
