Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__asia_ran…(H,L,timestamp,0,6)_0","Exit__asia_ran…(H,L,timestamp,0,6)_0","Entry__asia_ran…(H,L,timestamp,0,6)_1","Exit__asia_ran…(H,L,timestamp,0,6)_1","Entry__session_…(timestamp,7,12)","Exit__session_…(timestamp,7,12)"
8251,33487,33494,1.1298033898925557,1.128908657166416,1.128908657166416,1.1320740285007518,-7.382439723378773,0.0,-0.0007919366627363589,2022-01-04 09:15:00+00:00,2022-01-04 11:00:00+00:00,0 days 01:45:00,B_long,0.0008164971224393281,0.000765161408367731,1.13094,1.13094,1.12953,1.12953,1.0,1.0
8238,33676,33677,1.1306134640235752,1.1297050798281751,1.1297050798281751,1.1330047605154747,-7.4832690017057715,0.0,-0.0008034436386130661,2022-01-06 08:30:00+00:00,2022-01-06 08:45:00+00:00,0 days 00:15:00,B_long,0.0008642641489148191,0.0008823622623928581,1.13205,1.13205,1.13048,1.13048,1.0,1.0
8232,33682,33700,1.130633465853971,1.1329516621378486,1.129696112620717,1.1329516621378486,19.08339180888072,0.0,0.0020503517310330732,2022-01-06 10:00:00+00:00,2022-01-06 14:30:00+00:00,0 days 04:30:00,B_long,0.0008653690620452826,0.001085271042791394,1.13205,1.13205,1.13048,1.13048,1.0,0.0
-8250,33769,33770,1.1301465597715665,1.130569242475495,1.130569242475495,1.1293322725735153,-3.4871323074094907,0.0,-0.0003740069819031522,2022-01-07 07:45:00+00:00,2022-01-07 08:00:00+00:00,0 days 00:15:00,B_short,0.00034001014542894977,0.0003746754593717773,1.13032,1.13032,1.12899,1.12899,1.0,1.0
-8247,33783,33785,1.1301365606867644,1.130740306456235,1.130740306456235,1.1286990806312955,-4.979091360823475,0.0,-0.0005342237305407949,2022-01-07 11:15:00+00:00,2022-01-07 11:45:00+00:00,0 days 00:30:00,B_short,0.000491598928736806,0.00047262319536231035,1.13032,1.13032,1.12899,1.12899,1.0,1.0
8219,33870,33873,1.1336537422436987,1.1328192232442376,1.1328192232442376,1.1357023302672873,-6.858911656571494,0.0,-0.0007361321789575159,2022-01-10 09:00:00+00:00,2022-01-10 09:45:00+00:00,0 days 00:45:00,B_long,0.0007340065216607267,0.0007243888379522068,1.1358,1.1358,1.13319,1.13319,1.0,1.0
8214,33880,33881,1.1334437230245455,1.132631314675663,1.132631314675663,1.1355060559730112,-6.673122177721025,0.0,-0.0007167610816306569,2022-01-10 11:30:00+00:00,2022-01-10 11:45:00+00:00,0 days 00:15:00,B_long,0.0007161939477588808,0.0007033680880577053,1.1358,1.1358,1.13319,1.13319,1.0,1.0
-8207,33969,33977,1.133496253180312,1.1342617552522845,1.1342617552522845,1.1316547342431467,-6.282475504677043,0.0,-0.0006753459218100666,2022-01-11 09:45:00+00:00,2022-01-11 11:45:00+00:00,0 days 02:00:00,B_short,0.0006675212186464363,0.0006626297335451524,1.13441,1.13441,1.13284,1.13284,1.0,1.0
8181,34059,34059,1.1365440067358554,1.1359243406558983,1.1359243406558983,1.1379869780323046,-5.069488200129159,0.0,-0.0005452196098739703,2022-01-12 08:15:00+00:00,2022-01-12 08:15:00+00:00,0 days 00:00:00,B_long,0.000558904764888053,0.000558904764888053,1.13779,1.13779,1.1364,1.1364,1.0,1.0
8175,34062,34067,1.1367940296158,1.1360810893099285,1.1360810893099285,1.1384767320702143,-5.828287000498977,0.0,-0.00062714993859736,2022-01-12 09:00:00+00:00,2022-01-12 10:15:00+00:00,0 days 01:15:00,B_long,0.0005763892647286031,0.0005715267414240395,1.13779,1.13779,1.1364,1.1364,1.0,1.0
8109,34266,34267,1.1452848066187102,1.1446021009472511,1.1446021009472511,1.146913697158247,-5.5360602898619735,0.0,-0.0005961012208611782,2022-01-14 12:00:00+00:00,2022-01-14 12:15:00+00:00,0 days 00:15:00,B_long,0.000564845845715804,0.0006441997329537035,1.14827,1.14827,1.14511,1.14511,0.0,0.0
-8127,34353,34359,1.141855488074973,1.1425897572979924,1.1425897572979924,1.1400707281060232,-5.9674059754790365,0.0,-0.0006430491692581697,2022-01-17 09:45:00+00:00,2022-01-17 11:15:00+00:00,0 days 01:30:00,B_short,0.0006564563249267153,0.0005804974685113953,1.14224,1.14224,1.14,1.14,1.0,1.0
-8128,34361,34413,1.1409655695275749,1.1417944311393766,1.1417944311393766,1.1388967065818703,-6.736987180724498,0.0,-0.0007264562874977898,2022-01-17 11:45:00+00:00,2022-01-18 00:45:00+00:00,0 days 13:00:00,B_short,0.0007758403207929955,0.0003141380240841495,1.14224,1.14214,1.14,1.13849,1.0,0.0
-8180,34535,34535,1.1329763007705966,1.1334559155334125,1.1334559155334125,1.1319522533997628,-3.923248759833924,0.0,-0.0004233228554646473,2022-01-19 07:15:00+00:00,2022-01-19 07:15:00+00:00,0 days 00:00:00,B_short,0.00044579346229084427,0.00044579346229084427,1.13336,1.13336,1.13187,1.13187,1.0,1.0
-8176,34538,34539,1.132956302600992,1.1336065293116762,1.1336065293116762,1.1314604120649716,-5.316253586554552,0.0,-0.0005739203790926517,2022-01-19 08:00:00+00:00,2022-01-19 08:15:00+00:00,0 days 00:15:00,B_short,0.0005409920701193727,0.0005395264607701123,1.13336,1.13336,1.13187,1.13187,1.0,1.0
-8171,34540,34541,1.133086290703421,1.1337395264607701,1.1337395264607701,1.1315814206176895,-5.33758937330042,0.0,-0.0005765101587662524,2022-01-19 08:30:00+00:00,2022-01-19 08:45:00+00:00,0 days 00:15:00,B_short,0.0005622562660007625,0.0005872887638673017,1.13336,1.13336,1.13187,1.13187,1.0,1.0
-8165,34542,34542,1.1331762824666411,1.1338972887638674,1.1338972887638674,1.131548133708398,-5.887016416852475,0.0,-0.0006362701976578844,2022-01-19 09:00:00+00:00,2022-01-19 09:00:00+00:00,0 days 00:00:00,B_short,0.0006929835953516827,0.0006929835953516827,1.13336,1.13336,1.13187,1.13187,1.0,1.0
-8141,34634,34634,1.1358560371936375,1.1365129525698914,1.1365129525698914,1.1343411422903256,-5.347948078082976,0.0,-0.0005783438699475951,2022-01-20 08:00:00+00:00,2022-01-20 08:00:00+00:00,0 days 00:00:00,B_short,0.0006012255605726466,0.0006012255605726466,1.13651,1.13651,1.13427,1.13427,1.0,1.0
8146,34645,34646,1.1347138392546627,1.1339683959867968,1.1339683959867968,1.1364548120396096,-6.072380860036143,0.0,-0.0006569438408855488,2022-01-20 10:45:00+00:00,2022-01-20 11:00:00+00:00,0 days 00:15:00,B_long,0.0005893901447761692,0.0006468047921393494,1.13651,1.13651,1.13427,1.13427,1.0,1.0
-8150,34740,34748,1.13321627880585,1.1339235732395108,1.1339235732395108,1.1315092802814681,-5.764449634335511,0.0,-0.0006241477879280755,2022-01-21 10:30:00+00:00,2022-01-21 12:30:00+00:00,0 days 02:00:00,B_short,0.0006110968075758402,0.0005984717625726833,1.1335,1.1335,1.13009,1.13009,1.0,0.0
8162,34919,34921,1.1310635052074751,1.1305378197201787,1.1305378197201787,1.1322665408394639,-4.290644947312955,0.0,-0.00046477097428754277,2022-01-25 07:15:00+00:00,2022-01-25 07:45:00+00:00,0 days 00:30:00,B_long,0.00045588957584519457,0.0005471348369681615,1.1324,1.1324,1.1308,1.1308,1.0,1.0
8159,34923,34924,1.1309334933099042,1.1302564831412942,1.1302564831412942,1.1325905505761176,-5.52372596568893,0.0,-0.0005986295150112175,2022-01-25 08:15:00+00:00,2022-01-25 08:30:00+00:00,0 days 00:15:00,B_long,0.0006310479442116384,0.0007869082183167564,1.1324,1.1324,1.1308,1.1308,1.0,1.0
-8259,35303,35305,1.1163578218292973,1.1167745326148655,1.1167745326148655,1.115436402155404,-3.4416143780073747,0.0,-0.00037327707785062003,2022-01-31 07:15:00+00:00,2022-01-31 07:45:00+00:00,0 days 00:30:00,B_short,0.0003512615995500219,0.00046214760143981244,1.11658,1.11658,1.1144,1.1144,1.0,1.0
-8258,35319,35328,1.1160578492852304,1.1168403106979239,1.1168403106979239,1.1141590679062288,-6.461566346022486,0.0,-0.0007010939560119223,2022-01-31 11:15:00+00:00,2022-01-31 13:30:00+00:00,0 days 02:15:00,B_short,0.0006476026048672185,0.0010408334292561798,1.11658,1.11658,1.1144,1.1144,1.0,0.0
8154,35594,35594,1.129793388977358,1.1292263282805868,1.1292263282805868,1.1311610151582396,-4.623812921471949,0.0,-0.0005019153964818113,2022-02-03 08:00:00+00:00,2022-02-03 08:00:00+00:00,0 days 00:00:00,B_long,0.0005005154901581308,0.0005005154901581308,1.13082,1.13082,1.12929,1.12929,1.0,1.0
-8027,35700,35705,1.1468350323064815,1.147902994411272,1.147902994411272,1.144011016766184,-8.572531815152796,0.0,-0.0009312255683737725,2022-02-04 10:30:00+00:00,2022-02-04 11:45:00+00:00,0 days 01:15:00,B_short,0.0009405951564357157,0.001060311410592233,1.14719,1.14719,1.14318,1.14318,1.0,1.0
8048,35796,35796,1.1430045979536176,1.1420688914343597,1.1420688914343597,1.1454333256969211,-7.530566066987539,0.0,-0.0008186375811025659,2022-02-07 10:30:00+00:00,2022-02-07 10:30:00+00:00,0 days 00:00:00,B_long,0.0008756274235549331,0.0008756274235549331,1.14559,1.14559,1.14247,1.14247,1.0,1.0
8041,35800,35805,1.1431046071055955,1.145493114177378,1.1421956286075405,1.145493114177378,19.205985364204043,0.0,0.002089491247726283,2022-02-07 11:30:00+00:00,2022-02-07 12:45:00+00:00,0 days 01:15:00,B_long,0.0008531218734647179,0.0008105826235579789,1.14559,1.14559,1.14247,1.14247,1.0,0.0
