Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__rsi(C,20)","Exit__rsi(C,20)","Entry__bbands(C,20,2.0)_0","Exit__bbands(C,20,2.0)_0","Entry__bbands(C,20,2.0)_1","Exit__bbands(C,20,2.0)_1","Entry__bbands(C,20,2.0)_2","Exit__bbands(C,20,2.0)_2","Entry__session_…(timestamp,7,18)","Exit__session_…(timestamp,7,18)"
-8837,112365,112378,1.0515837504804788,1.0528095550997407,1.0528095550997407,1.0496748008204668,-10.832435420417557,0.0,-0.0011656747441197712,2025-03-04 08:30:00+00:00,2025-03-04 11:45:00+00:00,0 days 03:15:00,A_short,0.0011022810864419943,0.0011489195207687588,76.0322472449636,76.1670865658072,1.0462942959363455,1.0483898058675973,1.048695,1.0511199999999998,1.0510957040636544,1.0538501941324023,1.0,1.0
-8715,112457,112457,1.0651325103874947,1.0663181278967007,1.0663181278967007,1.0631873697859386,-10.33265659273014,0.0,-0.001113117379897277,2025-03-05 07:30:00+00:00,2025-03-05 07:30:00+00:00,0 days 00:00:00,A_short,0.0012410441771406992,0.0012410441771406992,78.1650116901254,78.1650116901254,1.0595348918396856,1.0595348918396856,1.0624414999999998,1.0624414999999998,1.065348108160314,1.065348108160314,1.0,1.0
-8696,112458,112458,1.0662224106309373,1.0675710441771407,1.0675710441771407,1.0640961204811468,-11.7277173177848,0.0,-0.0012648707556290884,2025-03-05 07:45:00+00:00,2025-03-05 07:45:00+00:00,0 days 00:00:00,A_short,0.001400904953521939,0.001400904953521939,81.5704353855215,81.5704353855215,1.0593104937207587,1.0593104937207587,1.0627939999999998,1.0627939999999998,1.066277506279241,1.066277506279241,1.0,1.0
-8676,112459,112461,1.0673323090439844,1.068850904953522,1.068850904953522,1.0649283710836606,-13.17533811114842,0.0,-0.0014227957840964311,2025-03-05 08:00:00+00:00,2025-03-05 08:30:00+00:00,0 days 00:30:00,A_short,0.0015261176263856816,0.0014522394615963793,83.45481815887774,85.21589267751261,1.0591214176961208,1.0590725188087797,1.0631735,1.0639904999999998,1.0672255823038792,1.06890848119122,1.0,1.0
-8603,112485,112485,1.075021605256896,1.0768888413553137,1.0768888413553137,1.0717400855604355,-16.06383215468806,0.0,-0.0017369289038349223,2025-03-05 14:30:00+00:00,2025-03-05 14:30:00+00:00,0 days 00:00:00,A_short,0.001974995841271851,0.001974995841271851,78.70466660798846,78.70466660798846,1.0660738412238517,1.0660738412238517,1.0704535,1.0704535,1.0748331587761482,1.0748331587761482,1.0,1.0
-8579,112486,112491,1.0761215045851407,1.0781549958412717,1.0781549958412717,1.0726250074857107,-17.445321486348355,0.0,-0.0018896483784283102,2025-03-05 14:45:00+00:00,2025-03-05 16:00:00+00:00,0 days 01:15:00,A_short,0.001919663062435605,0.0019391601744077544,80.24079450707433,72.90150901707047,1.0655363639901125,1.0659617724440411,1.070741,1.0724015,1.0759456360098874,1.078841227555959,1.0,1.0
-8479,112656,112663,1.0866505408818847,1.0846966479268456,1.0878907511517526,1.0846966479268456,16.567058365776663,0.0,0.0017980876846142024,2025-03-07 09:15:00+00:00,2025-03-07 11:00:00+00:00,0 days 01:45:00,A_short,0.0011233176648521455,0.0010020668151769438,78.90589358520648,51.62246984538525,1.0793018168237487,1.0813594776744773,1.082935,1.0846515,1.0865681831762513,1.087943522325523,1.0,1.0
8539,112752,112756,1.0812189438617685,1.0829552099724997,1.080022661126389,1.0829552099724997,14.825976319533616,0.0,0.0016058413706014907,2025-03-10 08:15:00+00:00,2025-03-10 09:15:00+00:00,0 days 01:00:00,A_long,0.0010356936904628597,0.0012776242467814017,35.20735485412855,58.383419175506546,1.0817687286756867,1.080991159019547,1.083256,1.0829885,1.0847432713243133,1.084985840980453,1.0,1.0
-8486,112846,112850,1.0895002800505187,1.0909797715563039,1.0909797715563039,1.087144411198653,-12.55496491809313,0.0,-0.0013579542225694574,2025-03-11 07:45:00+00:00,2025-03-11 08:45:00+00:00,0 days 01:00:00,A_short,0.001341802015463437,0.0013424597997758077,71.30430867872775,78.34654962179287,1.082755140895875,1.082078137702058,1.085807,1.0868175,1.0888588591041248,1.091556862297942,1.0,1.0
8519,113058,113059,1.083979196456354,1.0823600543324412,1.0823600543324412,1.0865879022016056,-13.793471753613977,0.0,-0.0014937022123727717,2025-03-13 12:45:00+00:00,2025-03-13 13:00:00+00:00,0 days 00:15:00,A_long,0.0015059529118842305,0.001525159190299657,24.212188428491814,20.068486071512453,1.084213243221031,1.0833131217505945,1.0867894999999999,1.0865215,1.0893657567789687,1.0897298782494054,1.0,1.0
