rsi_len,bb_std,rsi_os,rsi_ob,rr_tp,atr_mult_sl,risk_pct,a_atr_min,a_edge_mult,a_session_start,a_session_end,train_trades,train_pf,train_wr,train_ret,train_dd,train_sharpe,oos_trades,oos_pf,oos_wr,oos_ret,oos_dd,oos_sharpe
18,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
20,2.4,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,57.0,0.47206284343515637,33.33333333333333,-2.4423509934079264,-2.649089885230582,-1.6657805208505558,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
20,2.4,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,53.0,0.4341083146933659,30.18867924528302,-2.5824843168822187,-2.722430670084053,-1.7729132689139728,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
20,2.4,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
20,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
22,2.4,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
22,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
24,2.4,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,59.0,0.44668502673029575,32.20338983050847,-2.7013110707904886,-2.907489980657607,-1.8137616544296506,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
24,2.4,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,55.0,0.41048669630891943,29.09090909090909,-2.841023306245788,-2.980605339569442,-1.919834921406151,21.0,1.4331299771965615,52.38095238095239,0.7001250529662866,-0.969971026105998,0.6912188242489419
10,1.8,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,275.0,0.6798691651320649,36.72727272727273,-5.878504166349976,-6.094203812505472,-1.7676299701461304,114.0,1.4287918217501245,51.75438596491229,2.9391712972408097,-1.430465678846693,1.6717599508933316
